brad_date,prod_id,ch_no,ch_nm,bom_st_dt,bom_fns_dt,bom_prod_nm,대분류,중분류,소분류,브랜드,세분류,productImgUrl,mUrl,originPrice,price
2024-01-30,7191706636400,22,공영쇼핑,2024-01-30 17:40:00,2024-01-30 18:39:58,[전국한우협회]한우먹는날 한우 도가니탕 700g x 10팩,식품/건강,축산물,축산가공식품,한우먹는날,도가니탕,"https://img.publichs.com/ECMCFO/share/product/89/12/79/16967058.jpg/dims/resize/Q_80,435",https://m.gongyoungshop.kr/gate/selectAliance.do?alcLnkCd=kt&tgUrl=/goods/selectGoodsDetail.do?prdId=11791289,59900,59900
2024-01-30,4781706636460,17,SK 스토아,2024-01-30 17:41:00,2024-01-30 18:40:58,[강부자] [SK단독]부자 뼈없는 갈비찜 500g*8팩,식품/건강,농산물,채소,SK단독,갈비찜,http://imagecdn.skstoa.com/goods/209/37246209_g.jpg,http://m.skstoa.com/display/goods/37246209?orderMedia=62&mediaCode=EP01&mediaTarget=001&utm_source=hsmoa&utm_medium=affiliate&utm_campaign=hsmoaonair,80900,79900
2024-01-30,4861706636520,42,NS Shop+,2024-01-30 17:42:00,2024-01-30 18:01:58,열매나무 못난이 엔비사과 2kg+2kg,식품/건강,농산물,과일,열매나무,엔비사과,http://product-image.prod-nsmall.com/itemimg4/33/894/33833894_S.jpg,http://mw.nsmall.com/gate.html?co_cd=182&target=/product/33833894,38900,36950
2024-01-30,2231706636700,38,CJ ONSTYLE+,2024-01-30 17:45:00,2024-01-30 18:44:58,사옹원 프리미엄 명절모둠전 총 11종11팩,식품/건강,가공식품,간편식품,사옹원,명절모둠전,http://itemimage.cjonstyle.net/goods_images/20/501/2024986501L.jpg?timestamp=20240102104736,https://display.cjonstyle.com/m/item/2024986501?infl_cd=I0959&utm_medium=pcs&utm_source=livehomeshopping&channelCode=30002002,60900,59900
2024-01-30,2571706637600,36,현대홈쇼핑+샵,2024-01-30 18:00:00,2024-01-30 18:39:58,임페리얼 너츠 플러스 123봉(20봉x5박스 + 10봉x2박스 + 3봉),식품/건강,농산물,채소,임페리얼 너츠,플러스,http://image.hyundaihmall.com/static/2/8/82/03/2203828209_0.jpg,http://m.hyundaihmall.com/front/smItemDetailR.do?pReferCode=dm1&ItemCode=2203828209&utm_source=homemoadata&utm_medium=cps_main&utm_campaign=sale,99000,99000
2024-01-30,4861706637720,42,NS Shop+,2024-01-30 18:02:00,2024-01-30 18:21:58,열매나무 못난이 엔비사과 2kg+2kg,식품/건강,농산물,과일,열매나무,엔비사과,http://product-image.prod-nsmall.com/itemimg4/33/894/33833894_S.jpg,http://mw.nsmall.com/gate.html?co_cd=182&target=/product/33833894,38900,36950
2024-01-30,3151706638860,34,W쇼핑,2024-01-30 18:21:00,2024-01-30 19:21:18,[상담예약] 바디프랜드 안마의자 팔콘S/팔콘,여행/보험/렌탈/티켓,렌탈,가전디지털렌탈,바디프랜드,팔콘S,http://img.w-shopping.co.kr/goods2022/989/50/15950989_p.png,https://m.w-shopping.co.kr/display/goods/15950989?mediaCode=OT08,0,0
2024-01-30,4861706638920,42,NS Shop+,2024-01-30 18:22:00,2024-01-30 18:41:58,열매나무 못난이 엔비사과 2kg+2kg,식품/건강,농산물,과일,열매나무,엔비사과,http://product-image.prod-nsmall.com/itemimg4/33/894/33833894_S.jpg,http://mw.nsmall.com/gate.html?co_cd=182&target=/product/33833894,38900,36950
2024-01-30,2701706639400,6,CJ ONSTYLE,2024-01-30 18:30:00,2024-01-30 19:34:58,[백종원 본가]소불고기 250g x 10팩,식품/건강,축산물,축산가공식품,백종원 본가,소불고기,http://itemimage.cjonstyle.net/goods_images/20/389/2006982389L.jpg?timestamp=20221011155608,https://display.cjonstyle.com/m/item/2006982389?infl_cd=I0444&utm_medium=pcs&utm_source=livehomeshopping,69900,68900
2024-01-30,3231706639400,4,롯데홈쇼핑,2024-01-30 18:30:00,2024-01-30 19:33:58,키인L 알파 플러스 즉시잠김 도어락(KDL102BF),생활/주방,공구/보안용품,도어락/열쇠/금고,BF,도어락,https://image2.lotteimall.com/goods/32/03/79/12790332_1.jpg,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=183671&chl_dtl_no=2605020&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12790332,339000,309000
